language,rps,Min,25%,Median,75%,Max,Std
go,10000,0.0,0.0,0.0,0.0,613.0,6.43
go,16000,0.0,0.0,0.0,0.0,6270.0,88.77
python,10000,0.0,0.0,0.0,0.0,184.0,4.02
rust,10000,0.0,0.0,0.0,0.0,34.0,0.26
rust,16000,0.0,0.0,0.0,0.0,2605.0,24.0
ts,10000,0.0,0.0,0.0,0.0,145.0,3.32
ts,16000,0.0,0.0,0.0,0.0,5906.0,179.93
