language,rps,Min,25%,Median,75%,Max,Std
go,10000,0.0,0.0,0.0,1.0,1626.0,16.81
python,10000,1.0,738.0,1723.0,4052.0,30000.0,5804.49
rust,10000,0.0,0.0,1.0,9.0,27459.0,1332.53
springboot,10000,2.0,4952.0,9783.0,16687.0,30083.0,7922.54
ts,10000,0.0,697.0,2640.0,6479.0,30124.0,7013.75
