language,Min,25%,Median,75%,Max,Std
go,766.0,1019.0,1266.0,1520.5,1768.0,288.54
python,1497.0,1548.0,1551.0,1556.0,2021.0,50.12
quarkus,1731.0,1777.0,1821.0,1829.0,1987.0,40.74
rust,733.0,1631.0,1678.0,1725.5,1783.0,236.29
springboot,979.0,1017.0,1019.0,1021.0,2022.0,121.6
ts,998.0,1016.0,1018.0,1020.0,2020.0,86.43
