language,Min,25%,Median,75%,Max,Std
go,766.0,1086.75,1332.5,1607.5,1968.0,300.8
python,1497.0,1552.0,1793.5,1850.0,2021.0,157.93
quarkus,1731.0,1822.0,2107.0,2197.5,2408.0,194.18
rust,733.0,1062.5,1353.0,1690.0,1968.0,347.55
springboot,979.0,1018.0,1021.0,1024.0,2023.0,100.9
ts,998.0,1018.0,1148.5,1196.75,2033.0,114.05
